T,t1,t2,t4
25.80834961,26.4,458.9,594.0335
25.79228973,26.3,459.0,594.0071
25.73000336,26.2,458.9,593.5182
25.74596596,26.3,458.9,593.3759
25.6872921,26.2,458.8,593.5659
25.64622307,26.3,458.7,593.645
25.60049057,26.2,458.7,593.837
25.61842728,26.3,458.8,593.3156
25.63780022,26.1,458.8,592.9425
25.62427521,26.0,458.6,592.8239
25.58455849,26.0,458.6,592.8535
25.56020927,25.9,458.6,592.6505
25.54440117,26.0,458.4,593.0159
25.4855175,25.9,458.4,593.2624
25.37407112,25.9,458.3,592.9490000000001
25.41589355,25.8,458.4,592.4106
25.38205719,25.8,458.3,592.0732
25.28129196,25.8,458.3,592.1588
25.18334007,25.8,458.2,592.6055
25.14022636,25.7,458.3,592.7258
25.11470985,25.8,458.2,592.3611
